55,1.999824313s,7.400109649s,96.261576ms,7.598242801s,73.557444ms,894.068588ms,30.740924ms,191.049308ms,6.210536664s
56,1.616086112s,7.161121759s,194.887582ms,7.456479697s,73.793728ms,866.673751ms,26.991718ms,194.606436ms,5.998900896s
57,2.017622196s,6.350374271s,219.953329ms,6.653576731s,91.402946ms,656.46358ms,25.311044ms,171.678802ms,5.405374141s
58,2.146442461s,6.891079788s,237.096026ms,7.214514704s,71.759717ms,734.145456ms,24.707321ms,195.021854ms,5.865263806s
59,2.758628304s,6.202618479s,104.397035ms,6.388938137s,73.411629ms,643.797623ms,24.584175ms,165.36633ms,5.295300591s
60,2.307775617s,7.410140965s,113.634518ms,7.636153913s,95.548985ms,867.264042ms,27.960897ms,277.729328ms,6.141473018s
61,1.615010674s,6.909990143s,101.440134ms,7.107838523s,73.00147ms,752.024666ms,26.915507ms,188.377527ms,5.869528474s
62,2.631599018s,7.33884217s,103.176413ms,7.552121425s,73.588728ms,898.591952ms,39.638225ms,197.95471ms,6.128901879s
63,1.679468184s,21.62408168s,148.718578ms,22.286968674s,83.909202ms,4.282517934s,29.679091ms,810.790647ms,16.416963137s
64,2.552322025s,7.10705747s,169.384378ms,7.393328509s,92.237634ms,1.030868363s,25.744852ms,333.983515ms,5.624067757s
65,1.551835645s,7.536818291s,223.443982ms,7.88347579s,82.471005ms,893.66945ms,30.72442ms,201.002017ms,6.328792652s
66,1.882452907s,22.275669981s,115.875152ms,22.893856377s,92.551028ms,4.524764718s,33.023905ms,678.397997ms,16.946736062s
67,2.807921815s,8.81391264s,179.420425ms,9.118547276s,87.474503ms,1.71958115s,50.840458ms,304.605418ms,6.651240759s
68,2.738939107s,8.974830985s,141.395971ms,9.230503959s,92.747889ms,1.26371214s,29.246207ms,248.315719ms,7.340647218s
69,2.618995489s,10.043854713s,145.256974ms,10.323721533s,106.783014ms,1.303759264s,33.037026ms,249.625293ms,8.350451857s
70,2.885070222s,7.829349492s,166.231309ms,8.118103035s,86.358056ms,1.255164125s,38.657061ms,243.021934ms,6.205973456s
71,1.985905486s,9.043426221s,258.438065ms,9.42924721s,88.043703ms,1.265025795s,31.263175ms,264.906732ms,7.394013472s
72,3.112635572s,8.764314794s,189.764163ms,9.077771364s,82.464166ms,1.107195105s,30.163073ms,369.597287ms,7.174717676s
73,2.972180951s,8.456304265s,127.666296ms,8.704273887s,83.148437ms,1.066160554s,29.449044ms,219.71373ms,7.057651352s
74,2.308490653s,8.623972514s,158.73014ms,8.898459433s,84.811424ms,942.958194ms,29.766499ms,229.065224ms,7.337131079s
75,2.520509638s,7.493407142s,120.938563ms,7.722761087s,77.047908ms,1.022631123s,26.687672ms,234.589989ms,6.132266777s
76,2.119878398s,8.472094657s,153.978108ms,8.742247096s,99.126014ms,1.017228192s,27.307192ms,241.903747ms,7.086311172s
77,3.130811528s,8.422710337s,146.549584ms,8.690753267s,88.374353ms,1.213488797s,33.839654ms,293.427489ms,6.793394735s
78,2.788276568s,8.570132284s,177.316604ms,8.879528858s,91.93742ms,1.135949875s,31.820961ms,242.918857ms,7.067327638s
79,3.061140699s,8.659473811s,165.921948ms,8.942399649s,83.516775ms,1.122270766s,28.290507ms,309.46738ms,7.115690812s
80,2.813023567s,25.376319672s,267.730499ms,26.202193945s,101.176885ms,4.82448152s,36.175435ms,943.540381ms,19.470756516s
81,2.678744751s,11.529537854s,140.568596ms,11.795985869s,100.389101ms,1.506736685s,42.54742ms,444.241428ms,9.435437132s
82,2.274004348s,11.090512368s,160.601137ms,11.379734602s,90.362933ms,1.467693854s,44.933282ms,336.943917ms,9.150352169s
83,2.163712174s,10.959610731s,145.002796ms,11.231872812s,86.384411ms,1.637540562s,38.418026ms,293.628218ms,8.903405003s
84,2.16184055s,12.27311766s,135.543812ms,12.53679432s,85.384617ms,2.094123234s,30.316342ms,247.207436ms,9.815922176s
85,3.093579433s,10.497274977s,251.927901ms,10.888624405s,89.863711ms,1.435402978s,34.301017ms,385.587393ms,8.551896358s
86,2.17194789s,12.191776234s,150.581407ms,12.479194025s,85.599693ms,1.576646821s,33.183059ms,370.420943ms,10.125705535s
